density,formation_energy_per_atom,energy_above_hull,row_numbers,group_numbers,is_magnetic,is_metal
9.016287402287896,0.10019832625000191,0.10019832625000191,9,25,0,1
11.815232843801287,0.03182462187499979,0.03182462187499979,11,23,0,1
8.957016366320707,0.9805402187500007,0.9805402187500007,7,26,0,1
8.421605195423677,0.20542232584686104,0.22011171022727183,8,26,0,1
10.17271022464034,0.14214760000000126,0.14214760000000126,11,25,0,1
10.728137772596519,-0.0667762912499974,0.0,10,21,0,1
12.906863305766075,-0.020391218749995943,0.020805422500000503,11,21,0,1
10.335685136954602,0.22892486250000132,0.22892486250000132,10,20,0,1
10.45814057581765,0.2216487425000011,0.2216487425000011,10,20,0,1
8.989131441280312,0.0873648650000014,0.0873648650000014,10,26,0,1
9.121196488250495,0.0508994350000016,0.0508994350000016,10,26,0,1
9.054311103109846,0.100666425,0.100666425,10,25,0,1
